date,tsm_usd,twse_twd,usdtwd,twse_usd_per_adr,premium,premium_ma60
2000-02-02,21.9638,79.0398,,,,
2000-02-03,26.0154,79.0398,,,,
2000-02-04,25.3757,79.0398,,,,
2000-02-07,25.2335,79.0398,,,,
2000-02-08,24.2621,79.0398,,,,
2000-02-09,23.1248,82.5614,,,,
2000-02-10,24.5227,83.7352,,,,
2000-02-11,23.3143,85.6918,,,,
2000-02-14,23.5039,83.7352,,,,
2000-02-15,23.4565,84.1264,,,,
2000-02-16,23.5276,83.3441,,,,
2000-02-17,23.7408,82.5614,,,,
2000-02-18,22.6509,81.3875,,,,
2000-02-22,21.4189,76.3006,,,,
2000-02-23,20.8502,75.9094,,,,
2000-02-24,21.2293,76.3006,,,,
2000-02-25,22.106,77.866,,,,
2000-02-28,21.7506,77.866,,,,
2000-02-29,22.6746,78.6483,,,,
2000-03-01,23.3143,80.6048,,,,
2000-03-02,22.9353,79.431,,,,
2000-03-03,24.6412,79.431,,,,
2000-03-06,23.3143,78.2571,,,,
2000-03-07,21.9638,77.866,,,,
2000-03-08,22.6983,77.4744,,,,
2000-03-09,22.3429,78.2571,,,,
2000-03-10,21.0872,76.3006,,,,
2000-03-13,20.8502,71.214,,,,
2000-03-14,20.092,72.779,,,,
2000-03-15,19.2391,71.6052,,,,
2000-03-16,20.8502,71.9967,,,,
2000-03-17,22.5562,74.3444,,,,
2000-03-20,19.5234,71.9967,,,,
2000-03-21,21.2056,76.3006,,,,
2000-03-22,21.3241,75.1267,,,,
2000-03-23,22.0112,78.6483,,,,
2000-03-24,21.561,77.4744,,,,
2000-03-27,22.7931,82.5614,,,,
2000-03-28,22.6509,81.7787,,,,
2000-03-29,21.7269,79.8225,,,,
2000-03-30,21.0872,81.3875,,,,
2000-03-31,21.6084,80.2137,,,,
2000-04-03,20.6607,80.2137,,,,
2000-04-04,19.7129,80.2137,,,,
2000-04-05,20.4474,81.3875,,,,
2000-04-06,21.2767,79.0398,,,,
2000-04-07,20.8265,78.2571,,,,
2000-04-10,20.3053,82.1702,,,,
2000-04-11,19.9262,80.2137,,,,
2000-04-12,18.007,78.2571,,,,
2000-04-13,17.0593,75.1267,,,,
2000-04-14,15.0927,72.779,,,,
2000-04-17,16.775,70.0402,,,,
2000-04-18,18.5757,73.9529,,,,
2000-04-19,17.6042,71.6052,,,,
2000-04-20,17.6516,72.779,,,,
2000-04-24,16.9408,70.4314,,,,
2000-04-25,18.9548,73.1706,,,,
2000-04-26,18.3861,72.3879,,,,
2000-04-27,19.168,73.5617,,,,
2000-04-28,19.8314,77.0833,,,,
2000-05-01,19.3575,77.0833,,,,
2000-05-02,18.5757,75.5183,,,,
2000-05-03,17.6279,73.5617,,,,
2000-05-04,17.4384,73.1706,,,,
2000-05-05,18.1966,75.1267,,,,
2000-05-08,18.0544,75.5183,,,,
2000-05-09,17.7227,75.5183,,,,
2000-05-10,16.3959,73.5617,,,,
2000-05-11,16.7276,70.0402,,,,
2000-05-12,16.6328,72.3879,,,,
2000-05-15,17.4687,70.6193,,,,
